loss_function,best_val_f1,final_test_f1,final_test_accuracy,training_time_seconds
ldam,0.9447166247261507,0.8999138039868574,0.977760736196319,46664.75744199753
weighted_ce,0.9394006741350003,0.8965692426096353,0.9773773006134969,50451.61115670204
label_smoothing,0.9268644098590322,0.8950983631998194,0.973542944785276,47740.02353143692
focal,0.7757823037565914,0.7426337206943129,0.7825920245398773,50401.57622337341
cb_focal,0.5816764729167133,0.6008894947757536,0.5575153374233128,48985.24060797691
