view,model,test_loss,total_params,trainable_params,training_time_minutes,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,precision_using_flexpendant_mobile,recall_using_flexpendant_mobile,f1_using_flexpendant_mobile,precision_inspecting_buildplate,recall_inspecting_buildplate,f1_inspecting_buildplate,precision_preparing_buildplate,recall_preparing_buildplate,f1_preparing_buildplate,precision_refit_buildplate,recall_refit_buildplate,f1_refit_buildplate,precision_grinding_buildplate,recall_grinding_buildplate,f1_grinding_buildplate,precision_toggle_lights,recall_toggle_lights,f1_toggle_lights,precision_adjusting_tool,recall_adjusting_tool,f1_adjusting_tool,precision_wiring,recall_wiring,f1_wiring,precision_donning_ppe,recall_donning_ppe,f1_donning_ppe,precision_doffing_ppe,recall_doffing_ppe,f1_doffing_ppe,precision_observing,recall_observing,f1_observing,best_epoch,best_val_accuracy,best_val_loss,corresponding_train_loss,avg_epoch_time,total_training_time,precision_using_control_panel,recall_using_control_panel,f1_using_control_panel,precision_using_flexpendant_mounted,recall_using_flexpendant_mounted,f1_using_flexpendant_mounted,precision_open_door,recall_open_door,f1_open_door,precision_close_door,recall_close_door,f1_close_door,precision_turning_gas_knobs,recall_turning_gas_knobs,f1_turning_gas_knobs,precision_walking,recall_walking,f1_walking
Inner,Bi-LSTM,1.3643,5723346,5723346,0.5439,0.4318,0.3047,0.4322,0.5008,0.4318,0.3414,0.4029,0.25,0.125,0.1667,0.0,0.0,0.0,0.375,1.0,0.5455,0.25,0.3333,0.2857,0.5,1.0,0.6667,1.0,0.8,0.8889,0.3333,0.25,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6667,0.1429,1.0,0.25,14,0.4318,1.9768,1.6503,1.1181,32.635,,,,,,,,,,,,,,,,,,
Outer,Bi-LSTM,1.8977,5723346,5723346,1.9836,0.6667,0.5002,0.6951,0.4822,0.6667,0.4753,0.6713,1.0,0.5,0.6667,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.3333,0.6667,0.4444,58,0.7534,2.8487,0.8497,1.6238,119.0139,0.7727,0.8095,0.7907,0.7059,0.5217,0.6,0.6667,0.6667,0.6667,0.8571,0.8571,0.8571,0.0,0.0,0.0,0.6667,0.8,0.7273
