view,model,test_loss,total_params,trainable_params,training_time_minutes,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,precision_using_flexpendant_mobile,recall_using_flexpendant_mobile,f1_using_flexpendant_mobile,precision_inspecting_buildplate,recall_inspecting_buildplate,f1_inspecting_buildplate,precision_preparing_buildplate,recall_preparing_buildplate,f1_preparing_buildplate,precision_refit_buildplate,recall_refit_buildplate,f1_refit_buildplate,precision_grinding_buildplate,recall_grinding_buildplate,f1_grinding_buildplate,precision_toggle_lights,recall_toggle_lights,f1_toggle_lights,precision_adjusting_tool,recall_adjusting_tool,f1_adjusting_tool,precision_wiring,recall_wiring,f1_wiring,precision_doffing_ppe,recall_doffing_ppe,f1_doffing_ppe,precision_observing,recall_observing,f1_observing,best_epoch,best_val_accuracy,best_val_loss,corresponding_train_loss,avg_epoch_time,total_training_time,precision_using_control_panel,recall_using_control_panel,f1_using_control_panel,precision_using_flexpendant_mounted,recall_using_flexpendant_mounted,f1_using_flexpendant_mounted,precision_open_door,recall_open_door,f1_open_door,precision_close_door,recall_close_door,f1_close_door,precision_turning_gas_knobs,recall_turning_gas_knobs,f1_turning_gas_knobs,precision_donning_ppe,recall_donning_ppe,f1_donning_ppe,precision_walking,recall_walking,f1_walking
Inner,Transformer,1.7902,1801361,1801361,0.2596,0.6585,0.57,0.7545,0.6002,0.6585,0.562,0.6724,0.8333,0.7143,0.7692,0.3333,0.5,0.4,0.2,0.3333,0.25,1.0,1.0,1.0,0.5,1.0,0.6667,0.8333,1.0,0.9091,1.0,0.4545,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.7442,1.1665,1.23,0.5144,15.5742,,,,,,,,,,,,,,,,,,,,,
Outer,Transformer,2.0876,1801361,1801361,0.3419,0.6216,0.4007,0.6712,0.4614,0.6216,0.4028,0.6064,0.375,1.0,0.5455,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,20,0.6944,1.2508,1.0033,0.6773,20.514,0.64,0.8,0.7111,0.8,0.3478,0.4848,0.6667,0.6667,0.6667,0.6364,1.0,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.8889,0.8,0.8421
